timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T13:01:06.602474,983.45,983.42,983.51,-1,2.22,2.46
2025-12-19T13:01:07.659447,983.45,983.41,983.52,-1,2.22,2.46
2025-12-19T13:01:08.718844,983.45,983.41,983.52,-1,2.22,2.46
2025-12-19T13:01:09.778451,983.45,983.41,983.52,-1,2.22,2.46
2025-12-19T13:01:10.835163,983.45,983.41,983.52,-1,2.22,2.46
2025-12-19T13:01:11.894774,983.45,983.42,983.51,0,2.49,2.49
2025-12-19T13:01:12.953183,983.55,983.47,983.62,0,2.49,2.49
2025-12-19T13:01:14.011257,983.45,983.39,983.5,0,2.49,2.49
2025-12-19T13:01:15.096343,983.4,983.35,983.44,0,2.49,2.49
2025-12-19T13:01:16.178858,983.35,983.32,983.37,0,2.49,2.49
2025-12-19T13:01:17.238739,983.35,983.31,983.38,1,2.49,2.53
2025-12-19T13:01:18.303528,983.3,983.25,983.3,1,2.49,2.48
2025-12-19T13:01:19.366237,983.3,983.25,983.3,2,2.49,2.53
2025-12-19T13:01:20.426185,983.3,983.21,983.3,2,2.49,2.53
2025-12-19T13:01:21.481113,983.4,983.3,983.41,2,2.49,2.73
2025-12-19T13:01:22.537762,983.5,983.39,983.52,2,2.49,2.93
2025-12-19T13:01:23.600350,983.5,983.39,983.52,2,2.49,2.93
2025-12-19T13:01:24.655149,983.35,983.26,983.35,2,2.49,2.63
2025-12-19T13:01:25.715626,983.35,983.26,983.35,1,2.56,2.63
2025-12-19T13:01:26.772229,983.45,983.37,983.48,1,2.56,2.73
2025-12-19T13:01:27.836722,983.45,983.37,983.48,1,2.56,2.73
2025-12-19T13:01:28.894225,983.55,983.45,983.6,1,2.56,2.83
2025-12-19T13:01:29.951799,983.45,983.38,983.47,1,2.56,2.73
2025-12-19T13:01:31.018422,983.5,983.43,983.52,1,2.56,2.78
2025-12-19T13:01:32.078641,983.5,983.43,983.52,1,2.56,2.78
2025-12-19T13:01:33.132937,983.45,983.38,983.47,1,2.56,2.73
2025-12-19T13:01:34.189187,983.45,983.38,983.47,1,2.56,2.73
2025-12-19T13:01:35.246117,983.45,983.38,983.47,0,2.75,2.75
2025-12-19T13:01:36.304103,983.35,983.32,983.37,0,2.75,2.75
2025-12-19T13:01:37.364707,983.35,983.32,983.37,0,2.75,2.75
2025-12-19T13:01:38.422743,983.3,983.27,983.32,0,2.75,2.75
2025-12-19T13:01:39.484109,983.3,983.27,983.32,0,2.75,2.75
2025-12-19T13:01:40.543811,983.25,983.22,983.27,0,2.75,2.75
2025-12-19T13:01:41.603922,983.35,983.31,983.38,0,2.75,2.75
2025-12-19T13:01:42.659616,983.4,983.35,983.44,0,2.75,2.75
2025-12-19T13:01:43.717102,983.4,983.35,983.44,1,2.75,2.8
2025-12-19T13:01:44.776532,983.3,983.23,983.32,1,2.75,2.7
2025-12-19T13:01:45.838959,983.3,983.23,983.32,1,2.75,2.7
2025-12-19T13:01:46.896087,983.25,983.2,983.25,2,2.75,2.7
2025-12-19T13:01:47.955307,983.25,983.16,983.25,1,2.725,2.7
2025-12-19T13:01:49.012608,983.25,983.18,983.27,1,2.725,2.7
2025-12-19T13:01:50.071124,983.25,983.18,983.27,1,2.725,2.7
2025-12-19T13:01:51.130331,983.35,983.25,983.4,0,2.85,2.85
2025-12-19T13:01:52.186924,983.25,983.2,983.29,0,2.85,2.85
2025-12-19T13:01:53.248535,983.25,983.2,983.29,0,2.85,2.85
